,ID,MONTH,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,TARGET,T1,T2,T3,T4
12,21,3.5,3.2103900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0607808,3.80323675,0.0,0.0,1.0,0.0,10.618,10.0,0.0,0.0,0.0,9.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,11.6102488,1.361248,3.0083083,12.0,2.0,18.0,5.0,10818.0,1,17,1,63,1074
13,23,3.5,41.7072,0.0,0.0,0.0,0.0,0.0,0.9877100000000001,0.0,0.0,0.0,0.0,0.9608700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.6575,29.5,0.0,0.0,1.0,29.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,548.5074187000001,2.526768,6.052531200000001,266.0,2.0,214.5,5.0,99623.0,0,7,6,114,873
14,26,3.5,36.3142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.44095,10.5,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0967529,0.0,0.0,29.0,0.0,13.5,0.0,1855.5,0,13,6,63,549
15,27,3.5,36.33178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.984585000000001,26.0,23.0,0.0,1.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,970.8613615500001,224.81846320000002,6.852729400000001,2.1169196,75.5,3.5,45.0,1.0,1294.0,0,1,2,133,1324
16,28,3.5,25.7205,0.0,0.0,0.0,0.0,0.0,0.451525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.568805,0.0,0.0,0.0,1.0,0.0,27.127450000000003,18.0,0.0,0.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,202.424409,6.05193075,25.669798,51.5,2.0,71.0,6.5,761993.0,3,11,1,63,149
17,29,3.5,39.412614000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.3888,29.0,0.0,0.0,0.5,26.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,461.09688344999995,0.25155340000000004,1.4241629999999998,144.0,1.0,159.0,2.0,0.0,2,20,1,63,605
18,32,3.5,79.19301685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49011,0.087656,0.0,0.0,0.0,1.0,0.0,67.79947999999999,26.0,1.0,0.0,0.0,25.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0002325985,209.968116,0.2926935,1.5728931,123.0,0.5,58.0,2.0,729429.0,1,17,6,63,75
19,33,3.5,65.9334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834918,1.02815,0.0,0.0,1.0,0.0,65.2248,29.0,0.0,0.0,0.5,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,345.53657105,0.28343949999999996,2.1602595,162.0,1.5,145.5,6.0,65255.0,2,5,6,114,788
20,34,3.5,32.15183625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.316650000000003,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.16894730000001,0.0,1.5124395,53.0,0.0,57.5,2.0,647727.0,1,4,6,63,38
21,36,3.5,30.379580000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607128,0.0,0.0,0.0,1.0,0.0,42.0884,17.0,0.0,0.0,0.0,13.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,40.094637,1.38553165,1.9098036,26.5,1.0,19.5,2.0,47869.0,2,7,4,133,928
22,37,3.5,28.4316285,0.0,0.0,0.0,0.0,0.0,1.149078,13.61106375,0.0,0.0,0.0,0.63105,0.0,0.0,0.0,0.40486545,7.566394599999999,0.0,0.0,1.0,0.0,42.1638,6.0,0.0,0.0,1.5,3.5,1.0,1.9667510999999998,0.0,0.0,0.0,3.0,0.0,16.0963008,0.6104191999999999,5.2343694,4.0,1.0,34.5,2.5,539.0,1,13,1,63,1119
23,38,3.5,0.2134907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.89736605,0.7076109,0.60925825,6.5,0.5,9.0,1.0,729429.0,2,17,6,63,1193
24,40,3.5,16.20395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.519195,0.0,0.0,0.0,0.0,1.0,0.0,21.32016,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.205261400000001,0.0,0.0,15.0,5.5,34020.0,1,19,1,15,584
25,42,3.5,79.46718999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,28.0,14.0,1.0,31.0,10.5,0.0,0.0,0.0,0.0,1.5,640.8443336,920.235938,27.443208600000002,9.6014128,343.5,19.0,56.5,6.0,11829.0,2,13,4,38,585
26,43,3.5,75.5880768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03522275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.37641775,23.5,30.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.847781,243.92213819999998,0.0,0.37009614999999996,95.5,0.0,12.5,1.0,10346.0,1,21,4,47,888
27,44,3.5,303.41411315,0.0,0.0,0.0,4.07418,0.0,1.2632685000000001,0.0,0.0,9.0917047,0.0,5.626537,0.0,0.0,210.18602475,1.2415981,17.818769099999997,0.0,0.0,1.0,0.0,311.95293525,29.5,30.0,12.0,3.5,29.5,3.0,0.0,27.3567,0.0,0.0,6.0,417.0659217,811.1269519499999,1.625805,13.7776353,389.0,3.5,287.0,11.5,2887974.0,3,15,4,123,983
28,45,3.5,24.7743033,0.0,0.0,0.0,0.0,0.0,0.95914,0.0,0.0,0.3386462,0.0,0.92134,0.0,0.0,0.0,0.3580325,0.0,0.0,0.0,1.0,0.0,25.98865,28.0,30.5,0.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,270.2650143,280.01658999999995,0.2369615,0.0,99.0,1.0,105.0,0.5,2333.5,1,0,4,47,1010
29,46,3.5,36.72445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.266999999999996,25.0,29.5,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,292.6505391,165.2640537,0.0,0.0,57.0,0.0,65.0,0.0,647727.0,2,4,4,114,154
30,47,3.5,109.957089,0.0,0.0,0.0,0.0,1.80549,15.42359475,0.0,0.0,0.0,0.0,18.56478,0.0,0.0,0.0,10.2427228,35.3594037,0.0,0.0,1.0,0.0,119.57967,29.5,1.5,1.5,16.0,30.5,11.0,0.0,0.0,0.0,0.0,40.0,0.0,538.029203,21.3545278,21.315063600000002,205.0,14.0,187.0,18.0,2887974.0,1,7,4,60,695
31,49,3.5,69.79973075000001,0.0,0.0,0.0,0.0,0.0,0.0,20.3900125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.010927,0.5130325,0.0,0.0,1.0,0.0,68.2352975,30.0,0.0,0.0,0.0,29.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,423.7495338,6.33688755,3.3627375,188.0,3.0,87.5,6.5,9668.0,2,12,6,63,893
32,50,3.5,16.036875000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.316500000000001,24.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.54115675,0.0,0.0,59.0,0.0,50.5,0.0,5114.0,2,3,1,135,822
33,52,3.5,52.85968,0.0,0.0,0.0,0.0,0.48778,1.0141,0.0,0.0,0.0,0.0,2.0131300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.2516,28.0,16.0,7.5,2.0,24.0,12.5,0.0,0.0,0.0,0.0,2.0,99.86276864999999,151.0032972,31.532281249999997,40.81505425,66.5,28.5,57.5,22.5,14491.0,2,24,4,60,800
34,56,3.5,34.45087215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4116544,0.0,0.0,0.0,1.0,0.0,45.1965,27.5,0.0,0.0,0.0,27.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0015798115,136.19854435,5.0692075,3.9366707,92.5,5.0,83.0,3.5,863.0,2,6,6,114,1303
35,58,3.5,72.1876775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8821500000000002,0.0,0.0,1.0,0.0,67.477475,25.5,7.0,7.0,0.0,24.5,1.0,0.0,0.0,0.0,0.0,0.0,69.059339405,200.99657240000002,1.7345027499999999,0.0,94.0,2.0,70.0,0.0,647727.0,0,4,4,114,586
36,59,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.2445411265,0.1597855,0.0,0.0,0.5,0.0,0.0,0.0,12728.0,1,2,0,11,105
37,61,3.5,92.66786880000001,0.0,0.0,0.0,0.0,2.210116,8.942072,0.0,0.0,0.0,0.0,10.147956,0.0,0.0,0.0,30.225018149999997,0.0,0.0,0.0,1.0,0.0,105.97932940000001,30.0,0.0,0.0,10.0,30.0,7.5,0.0,0.0,0.0,0.0,18.0,0.0,830.2257978,9.5889831,34.56773575,471.5,15.0,351.0,32.0,492.0,1,10,1,36,654
38,63,3.5,44.423615999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.389446,0.0,0.0,0.0,1.0,0.0,47.4605,28.0,0.0,0.0,0.0,24.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,73.8880857,15.292935,45.994572500000004,62.0,10.0,73.0,13.5,729429.0,2,17,1,63,149
39,65,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4761178,0.0,0.796859,16.0,0.0,74.0,1.0,25570.0,2,12,4,133,1349
40,66,3.5,37.35761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.460125,24.0,24.0,10.5,0.0,14.0,2.5,0.0,0.0,0.0,0.0,0.0,1631.1411395,134.8187165,3.19636125,0.0,70.0,2.5,65.5,0.0,53840.0,3,10,4,38,1125
41,67,4.5,18.12804765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1008,0.91022,0.0,0.0,0.0,0.0,5.88995,12.5,0.0,0.0,0.5,9.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,12.3256331,10.1239159,0.32770395,22.0,9.0,20.0,0.5,37252.0,2,7,1,114,72
42,69,3.5,26.668353699999997,0.0,0.0,0.0,0.0,0.0,0.0,5.1085650000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273313,0.0,0.0,0.0,1.0,0.0,27.851985,30.5,0.5,0.5,0.0,30.0,1.5,0.0,0.0,0.0,0.0,0.0,0.7369076379999999,340.4000992,0.43675495,1.9003552,194.0,2.0,61.0,5.0,52098.0,2,3,1,127,22
43,70,3.5,53.352225000000004,0.0,0.0,0.0,0.0,0.0,0.46774,0.0,0.0,0.0,0.0,0.9232899999999999,0.0,0.0,0.0,1.124352,0.0,0.0,0.0,1.0,0.0,50.3629375,31.0,30.5,18.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,148.55252659999996,1091.340634,0.6759948,0.48506105,259.0,2.0,41.5,2.5,16606.0,2,7,4,38,1075
44,72,3.5,44.527125999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.9532400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641202,0.0,0.0,0.0,1.0,0.0,51.496249999999996,31.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1393.235354,2.61591845,17.860962,231.0,2.5,39.0,7.0,56035.0,3,5,6,63,75
45,73,3.5,49.8081602,0.0,0.0,0.0,0.0,0.0,0.0,2.3396575499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.8075,27.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0,38.1912,0.0,0.0,0.0,523.51112055,0.0,0.945891,163.5,0.0,259.5,2.0,52098.0,3,3,6,45,871
46,74,3.5,21.4322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.543,24.5,0.0,0.0,0.0,24.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,123.08420120000001,1.2707264,1.5998895,74.5,3.0,77.0,2.0,18906.0,1,15,6,60,1082
47,76,3.5,148.159425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.5,17.5,17.0,3.0,29.5,1.0,0.0,0.0,0.0,0.0,3.5,314.03908325,143.45016299999997,1.52657445,1.1375672,191.0,1.5,219.0,1.0,217773.0,3,14,0,11,105
48,77,3.5,34.13341079999999,0.0,0.0,0.0,0.0,0.0,0.0,5.7763776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4869534,19.024124999999998,0.0,0.0,1.0,0.0,50.1055,14.5,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.911920800000004,0.7029567999999999,1.2102198,23.0,1.0,49.0,2.0,1090.0,2,4,1,109,736
49,78,3.5,87.83579294999998,0.0,0.0,0.0,0.0,0.0,0.0,0.26921880000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2199174999999998,0.0,0.0,1.0,0.0,95.4249,31.0,12.0,13.5,0.0,30.5,1.0,0.0,0.0,4.58705,0.0,0.0,737.3956648,383.21270855,1.96403325,13.99698615,210.0,2.5,143.0,6.5,647727.0,2,4,4,69,1276
50,79,3.5,1.5851549999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3277714000000005,17.0,0.0,0.0,0.0,16.5,1.5,0.0,34.4692125,0.0,0.0,0.0,0.0,45.2010493,3.1369504,146.32792849999998,31.0,1.0,57.0,50.0,1879.0,2,5,6,63,909
51,81,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38102715000000004,0.0,0.0,51.0,1.0,316.0,1,3,6,71,1308
52,82,3.5,51.9289,0.0,0.0,0.0,0.0,0.0,0.539875,0.0,0.0,0.0,0.0,0.47934,0.0,0.0,0.0,0.0,2.2924350000000002,0.0,0.0,0.0,0.0,52.9638,30.5,30.0,30.0,2.5,31.0,1.0,0.0,0.0,0.0,0.0,10.5,607.0163882,593.7733412,0.36416255,0.20589189999999996,161.0,1.0,165.0,1.5,5547.0,1,12,4,141,118
53,83,3.5,2.72445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4257995,0.0,2.60056555,50.0,0.0,269.0,10.0,16619.0,2,4,4,69,1077
54,84,3.5,95.963864,0.0,0.50608,3.0073600000000003,0.0,1.05846,8.74584,0.0,0.0,0.0,0.0,9.192965000000001,0.0,0.0,0.0,2.801151,0.0,0.0,5.09965,1.0,0.0,103.7945,26.5,20.0,20.5,8.5,26.0,10.0,0.0,0.0,0.0,0.0,19.0,156.64889255,312.09717745,39.56417605,42.253701,85.5,13.0,104.0,27.5,2887974.0,3,7,4,3,1171
55,85,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666654999999997,0.0,25.59820165,5.0,0.0,29.5,4.5,239.0,0,15,1,63,9
56,86,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0658824,0.0,0.0,17.0,5.0,3492.0,1,11,1,63,493
57,87,3.5,40.137185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.153,31.0,31.0,28.0,0.0,31.0,12.5,0.0,0.0,0.0,0.0,0.0,1358.4847845,1064.0490424,30.6826383,23.3351304,225.5,21.0,183.0,17.0,1016515.0,2,18,4,48,403
58,88,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4471685,0.0,0.1801711,5.0,0.0,12.5,0.5,6334.0,0,4,4,38,891
59,90,3.5,73.39011775,0.0,0.0,0.0,0.0,0.0,0.0,9.29452395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.07565,28.0,3.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,25.579852300000002,1126.6454645,0.0,1.3130316,223.0,0.0,121.0,2.0,19516.0,2,21,6,114,1293
60,92,4.5,50.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.885000000000005,11.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.528762,0.0,0.0,17.0,0.0,8.5,0.0,13446.0,1,18,4,48,403
61,93,3.5,29.078972,0.0,0.0,0.0,0.0,0.0,0.0,2.92428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949624,15.296405949999999,0.0,0.0,1.0,0.0,26.856052499999997,22.0,0.0,0.0,0.0,23.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,50.71190475,5.2803777,0.0,61.5,1.5,283.0,0.0,355.0,2,21,1,63,669
62,94,4.0,38.15028,0.0,0.0,0.0,0.0,0.0,0.510825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8628,23.0,0.0,1.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.94769535,9.2150815,89.5522347,84.0,2.0,81.0,8.0,35586.0,2,7,0,11,105
63,97,3.5,33.3468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.52285,29.5,0.0,0.0,0.0,29.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,636.9777824,4.9018145,0.6681436000000001,222.0,4.5,118.0,2.0,14919.0,1,18,6,63,75
64,98,3.5,52.55500035,0.0,0.0,0.0,0.0,0.0,0.0,9.79341965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.807445,28.5,20.0,0.5,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,23.555972605,135.9294375,0.0,1.0567571000000002,157.0,0.0,269.0,0.0,4055.0,0,2,6,71,1308
65,99,3.5,38.55258,0.0,0.0,0.0,0.0,0.0,0.451775,0.0,0.0,0.0,0.0,0.479915,0.0,0.0,0.0,0.30509400000000003,0.0,0.0,0.0,1.0,0.0,35.138615,29.0,5.0,2.5,1.5,29.0,1.5,0.0,0.0,0.0,0.0,0.5,53.414101148,769.2310052,2.997535,21.70564,158.5,2.5,176.5,10.5,729429.0,3,17,4,69,676
66,100,3.5,112.26679125,0.0,0.0,0.0,0.0,0.341159,1.979211,0.0,0.0,0.0,0.0,3.5113552500000003,0.0,0.0,0.0,69.34245,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,4.0,31.0,19.5,0.0,0.0,0.0,0.0,11.0,0.0,314.051863,81.4620664,162.78713845,316.0,74.0,466.0,125.0,1262.0,2,1,6,63,159
